clave,clave_alterna,precio,max_usable,interior ,exterior,proveedor,material ,tipo
N85B-0-25-120,N85B-0-25-121,121.93,110,0,25,YANKO,RUBBER NITRILO YANKO,Rubber
N85B-0-65-120,N85B-0-65-121,563.92,110,0,65,YANKO,RUBBER NITRILO YANKO,Rubber
N85B-0-75-120,N85B-0-75-121,710.61,110,0,75,YANKO,RUBBER NITRILO YANKO,Rubber
N85B-0-20-120,N85B-0-20-121,80.65,110,0,20,YANKO,RUBBER NITRILO YANKO,Rubber
N85B-0-55-120,N85B-0-55-121,423.57,110,0,55,YANKO,RUBBER NITRILO YANKO,Rubber
N85B-0-45-120,N85B-0-45-121,301.64,110,0,45,YANKO,RUBBER NITRILO YANKO,Rubber
N85B-0-30-120,N85B-0-30-121,155.58,110,0,30,YANKO,RUBBER NITRILO YANKO,Rubber
N85B-10-30-120,N85B-10-30-121,144.15,110,10,30,YANKO,RUBBER NITRILO YANKO,Rubber
N85B-10-35-120,N85B-10-35-121,182.89,110,10,35,YANKO,RUBBER NITRILO YANKO,Rubber
N85B-10-45-120,N85B-10-45-121,301.64,110,10,45,YANKO,RUBBER NITRILO YANKO,Rubber
N85B-12-38-120,N85B-12-38-121,216.55,110,12,38,YANKO,RUBBER NITRILO YANKO,Rubber
N85B-12-60-120,N85B-12-60-121,466.12,110,12,60,YANKO,RUBBER NITRILO YANKO,Rubber
N85B-15-35-120,N85B-15-35-121,167.65,110,15,35,YANKO,RUBBER NITRILO YANKO,Rubber
N85B-20-40-120,N85B-20-40-121,198.13,110,20,40,YANKO,RUBBER NITRILO YANKO,Rubber
N85B-20-45-120,N85B-20-45-121,255.29,110,20,45,YANKO,RUBBER NITRILO YANKO,Rubber
N85B-20-55-120,N85B-20-55-121,395.63,110,20,55,YANKO,RUBBER NITRILO YANKO,Rubber
N85B-22-49-120,N85B-22-49-121,303.55,110,22,49,YANKO,RUBBER NITRILO YANKO,Rubber
N85B-25-60-120,N85B-25-60-121,666.16,110,25,60,YANKO,RUBBER NITRILO YANKO,Rubber
N85B-25-52-120,N85B-25-52-121,320.06,110,25,52,YANKO,RUBBER NITRILO YANKO,Rubber
N85B-30-60-120,N85B-30-60-121,398.17,110,30,60,YANKO,RUBBER NITRILO YANKO,Rubber
N85B-30-70-120,N85B-30-70-121,566.46,110,30,70,YANKO,RUBBER NITRILO YANKO,Rubber
N85B-33-69-120,N85B-33-69-121,520.1,110,33,69,YANKO,RUBBER NITRILO YANKO,Rubber
N85B-34-52-120,N85B-34-52-121,255.92,110,34,52,YANKO,RUBBER NITRILO YANKO,Rubber
N85B-35-65-120,N85B-35-65-121,436.91,110,35,65,YANKO,RUBBER NITRILO YANKO,Rubber
N85B-35-70-120,N85B-35-70-121,528.99,110,35,70,YANKO,RUBBER NITRILO YANKO,Rubber
N85B-38-60-120,N85B-38-60-121,340.38,110,38,60,YANKO,RUBBER NITRILO YANKO,Rubber
N85B-40-105-120,N85B-40-105-121,1224.36,110,40,105,YANKO,RUBBER NITRILO YANKO,Rubber
N85B-40-80-120,N85B-40-80-121,660.44,110,40,80,YANKO,RUBBER NITRILO YANKO,Rubber
N85B-42-68-120,N85B-42-68-121,432.46,110,42,68,YANKO,RUBBER NITRILO YANKO,Rubber
N85B-45-80-120,N85B-45-80-121,623.61,110,45,80,YANKO,RUBBER NITRILO YANKO,Rubber
N85B-45-75-120,N85B-45-75-121,528.99,110,45,75,YANKO,RUBBER NITRILO YANKO,Rubber
N85B-48-70-120,N85B-48-70-121,400.08,110,48,70,YANKO,RUBBER NITRILO YANKO,Rubber
N85B-50-80-120,N85B-50-80-121,540.42,110,50,80,YANKO,RUBBER NITRILO YANKO,Rubber
N85B-50-90-120,N85B-50-90-121,793.8,110,50,90,YANKO,RUBBER NITRILO YANKO,Rubber
N85B-55-85-120,N85B-55-85-121,598.21,110,55,85,YANKO,RUBBER NITRILO YANKO,Rubber
N85B-55-120-120,N85B-55-120-121,1392.01,110,55,120,YANKO,RUBBER NITRILO YANKO,Rubber
N85B-55-95-120,N85B-55-95-121,782.37,110,55,95,YANKO,RUBBER NITRILO YANKO,Rubber
